id,title,current_price,original_price,discount_text,image_url,unit_size,url,scrape_date,store
,Hak Burritoschotel,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303130343834?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Rode kidneybonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303436363638?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Kikkererwten bio,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303437383339?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Bonenschotel Mexicaans,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333838?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Del Monte Tomatenpuree dubbel geconcentreerd,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239353734303231?revLabel=2&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Kidneybonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303036343034?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Rode kidneybonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303437343133?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Zwarte bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313035303634?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Linzen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303036343036?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente paprika,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313034383134?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Witte bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333933?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Malse veldertjes jonge kapucijners,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393230363536?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Bonenschotel voor chili con carne,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333833?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Cannellini bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303432373235?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Linzencurry,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303130343835?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Linzen bio,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303432363235?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Galia meloen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313337313831?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Pureersoep pompoen linzen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313336313531?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Witte bonen in tomatensaus,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036343031?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Kikkererwten,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303036343039?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente wortel bleekselderij,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313034383135?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Kikkererwten,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303036343037?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Pureersoep pastinaak knolselderij,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239383738313533?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
