id,title,current_price,original_price,discount_text,image_url,unit_size,category,url,scrape_date,store
374225,Kühne Cocktailsalade zoetzuur,"€0,00","€1,89",,https://static.ah.nl/dam/product/AHI_43545239373436343036?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/374225,2025-03-06,Albert Heijn
584208,AH Vega Gesneden Eenpans Orzotto Verspakket,"€0,00","€8,88",,https://static.ah.nl/dam/product/AHI_4354523130313138373838?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/584208,2025-03-06,Albert Heijn
543629,Mutti Passata datterini gezeefde tomaten,"€0,00","€2,99",,https://static.ah.nl/dam/product/AHI_43545239393138373237?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/543629,2025-03-06,Albert Heijn
199117,Kühne Paprikareepjes,"€0,00","€1,89",,https://static.ah.nl/dam/product/AHI_43545239373332383432?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/199117,2025-03-06,Albert Heijn
572130,AH Groente & granen zilvervliesrijst,"€0,00","€3,89",,https://static.ah.nl/dam/product/AHI_4354523130303638353339?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/572130,2025-03-06,Albert Heijn
572373,AH Champignonsoep verspakket,"€0,00","€7,39",,https://static.ah.nl/dam/product/AHI_4354523130313135333530?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/572373,2025-03-06,Albert Heijn
170729,AH Biologisch Augurken zoetzuur,"€0,00","€2,19",,https://static.ah.nl/dam/product/AHI_4354523130313332323733?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/170729,2025-03-06,Albert Heijn
537159,AH Groentestoof geitenkaas verspakket,"€0,00","€5,89",,https://static.ah.nl/dam/product/AHI_4354523130303734343830?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/537159,2025-03-06,Albert Heijn
569545,Boon Kidneybonen in chilisaus,"€0,00","€2,59",,https://static.ah.nl/dam/product/AHI_4354523130303238343835?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/569545,2025-03-06,Albert Heijn
569548,Boon Linzen in kruidige tomatensaus,"€0,00","€2,79",,https://static.ah.nl/dam/product/AHI_4354523130303238343837?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/569548,2025-03-06,Albert Heijn
